2018-07-18T14:30:31.291-0400 I NETWORK  [conn14] end connection 127.0.0.1:55096 (2 connections now open)
2018-07-18T14:30:31.946-0400 I NETWORK  [conn13] end connection 127.0.0.1:55093 (1 connection now open)
2018-07-18T14:39:02.745-0400 I NETWORK  [conn15] end connection 127.0.0.1:63338 (0 connections now open)
2018-07-18T16:57:04.877-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:64226 #16 (1 connection now open)
2018-07-18T16:57:04.883-0400 I NETWORK  [conn16] received client metadata from 127.0.0.1:64226 conn16: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T16:58:47.868-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:64230 #17 (2 connections now open)
2018-07-18T16:58:47.868-0400 I NETWORK  [conn17] received client metadata from 127.0.0.1:64230 conn17: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T16:58:48.899-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:64232 #18 (3 connections now open)
2018-07-18T16:58:48.900-0400 I NETWORK  [conn18] received client metadata from 127.0.0.1:64232 conn18: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T16:58:56.679-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:64248 #19 (4 connections now open)
2018-07-18T16:58:56.679-0400 I NETWORK  [conn19] received client metadata from 127.0.0.1:64248 conn19: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T17:01:19.749-0400 I NETWORK  [conn16] end connection 127.0.0.1:64226 (3 connections now open)
2018-07-18T17:01:21.269-0400 I NETWORK  [conn19] end connection 127.0.0.1:64248 (2 connections now open)
2018-07-18T17:01:21.269-0400 I NETWORK  [conn18] end connection 127.0.0.1:64232 (1 connection now open)
2018-07-18T17:01:21.814-0400 I NETWORK  [conn17] end connection 127.0.0.1:64230 (0 connections now open)
2018-07-18T19:09:58.578-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:65170 #20 (1 connection now open)
2018-07-18T19:09:58.582-0400 I NETWORK  [conn20] received client metadata from 127.0.0.1:65170 conn20: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T19:10:21.801-0400 I NETWORK  [conn20] end connection 127.0.0.1:65170 (0 connections now open)
2018-07-18T20:28:20.408-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49212 #21 (1 connection now open)
2018-07-18T20:28:20.413-0400 I NETWORK  [conn21] received client metadata from 127.0.0.1:49212 conn21: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T20:48:16.724-0400 I NETWORK  [conn21] end connection 127.0.0.1:49212 (0 connections now open)
2018-07-18T20:48:58.336-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49288 #22 (1 connection now open)
